	genbank_id	description	taxonomy_name
0	FJ807093.1	Hepatitis C virus isolate PAT47 NS5B gene, partial cds.	Hepacivirus C
1	FJ807094.1	Hepatitis C virus isolate PAT48 NS5B gene, partial cds.	Hepacivirus C
2	FJ807095.1	Hepatitis C virus isolate PAT49 NS5B gene, partial cds.	Hepacivirus C
3	FJ807096.1	Hepatitis C virus isolate PAT50 NS5B gene, partial cds.	Hepacivirus C
4	FJ807097.1	Hepatitis C virus isolate PAT52 NS5B gene, partial cds.	Hepacivirus C
5	FJ807098.1	Hepatitis C virus isolate PAT55 NS5B gene, partial cds.	Hepacivirus C
6	FJ807099.1	Hepatitis C virus isolate PAT56 NS5B gene, partial cds.	Hepacivirus C
7	FJ807100.1	Hepatitis C virus isolate PAT59 NS5B gene, partial cds.	Hepacivirus C
8	FJ807101.1	Hepatitis C virus isolate PAT60 NS5B gene, partial cds.	Hepacivirus C
9	FJ807103.1	Hepatitis C virus isolate PAT63 NS5B gene, partial cds.	Hepacivirus C
10	FJ807104.1	Hepatitis C virus isolate PAT64 NS5B gene, partial cds.	Hepacivirus C
11	FJ807105.1	Hepatitis C virus isolate PAT65 NS5B gene, partial cds.	Hepacivirus C
12	FJ807106.1	Hepatitis C virus isolate PAT66 NS5B gene, partial cds.	Hepacivirus C
13	FJ807107.1	Hepatitis C virus isolate PAT67 NS5B gene, partial cds.	Hepacivirus C
14	FJ807108.1	Hepatitis C virus isolate PAT68 NS5B gene, partial cds.	Hepacivirus C
15	FJ807109.1	Hepatitis C virus isolate PAT69 NS5B gene, partial cds.	Hepacivirus C
16	FJ807110.1	Hepatitis C virus isolate PAT70 NS5B gene, partial cds.	Hepacivirus C
17	FJ807111.1	Hepatitis C virus isolate PAT71 NS5B gene, partial cds.	Hepacivirus C
18	FJ807115.1	Hepatitis C virus isolate PAT75 NS5B gene, partial cds.	Hepacivirus C
19	FJ807122.1	Hepatitis C virus isolate PAT82 NS5B gene, partial cds.	Hepacivirus C
20	FJ807124.1	Hepatitis C virus isolate PAT84 NS5B gene, partial cds.	Hepacivirus C
21	FJ807126.1	Hepatitis C virus isolate PAT86 NS5B gene, partial cds.	Hepacivirus C
22	FJ807127.1	Hepatitis C virus isolate PAT87 NS5B gene, partial cds.	Hepacivirus C
23	FJ807130.1	Hepatitis C virus isolate PAT90 NS5B gene, partial cds.	Hepacivirus C
24	FJ807132.1	Hepatitis C virus isolate PAT92 NS5B gene, partial cds.	Hepacivirus C
25	FJ807133.1	Hepatitis C virus isolate PAT93 NS5B gene, partial cds.	Hepacivirus C
26	FJ807134.1	Hepatitis C virus isolate PAT95 NS5B gene, partial cds.	Hepacivirus C
27	FJ807140.1	Hepatitis C virus isolate PAT102 NS5B gene, partial cds.	Hepacivirus C
28	FJ807141.1	Hepatitis C virus isolate PAT104 NS5B gene, partial cds.	Hepacivirus C
